Allele,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,SE33,TH01,TPOX,vWA
5,,,,,,,,,,,,,,,,,,,0.001385042,0.001385042,
6,,,,,,,,,,,,,,,,,,,0.235457064,0.001385042,
6.3,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,0.002770083,0.027700831,,,,0.193905817,,
8,0.005540166,,,0.120498615,0.01800554,,,,,,,,,0.005540166,0.144044321,0.013850416,,,0.095567867,0.524930748,
8.1,,,,,,,,,,,,,,,0.001385042,,,,,,
9,0.013850416,,,0.077562327,0.106648199,,,,,,,0.001385042,,0.041551247,0.167590028,0.005540166,,,0.119113573,0.127423823,
9.1,,,,,,,,,,,,0.001385042,,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,,0.344875346,,
10,0.220221607,,,0.047091413,0.056786704,0.008310249,0.001385042,0.002770083,,,,0.210526316,,0.055401662,0.256232687,0.102493075,,,0.008310249,0.049861496,
10.1,,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,,
11,0.308864266,0.001385042,,0.325484765,0.314404432,0.009695291,0.005540166,0.077562327,,0.139889197,,0.343490305,0.001385042,0.355955679,0.20498615,0.076177285,,0.001385042,0.001385042,0.252077562,
11.2,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,0.060941828,,,,,,,,,
12,0.360110803,0.031855956,,0.268698061,0.314404432,0.113573407,0.070637119,0.11634349,,0.012465374,,0.047091413,,0.387811634,0.159279778,0.167590028,,0.006925208,,0.041551247,0.001385042
12.2,,,,,,,0.001385042,,,,,,,,,,,,,,
12.3,,,,,,,,,,,,0.004155125,,,,,,,,,
13,0.081717452,0.307479224,,0.11634349,0.163434903,0.123268698,0.254847645,0.066481994,,0.006925208,,0.029085873,0.001385042,0.14265928,0.034626039,0.329639889,,0.016620499,,0.001385042,0.001385042
13.2,,,,,,,0.006925208,,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,,
